Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
TTC21A	0	0	0	0	4	0	0	0	0	4	1	1
UBR4	0	0	0	0	2	0	0	2	0	4	1	1
USF3	1	0	1	0	2	0	0	0	0	4	1	1
VCAN	0	0	0	0	4	0	0	0	0	4	1	1
VPS13C	0	0	0	0	4	0	0	0	0	4	1	1
VWCE	0	0	0	0	4	0	0	0	0	4	1	1
WASHC2C	0	0	0	0	4	0	0	0	0	4	1	1
ZC3H3	0	0	0	0	3	1	0	0	0	4	1	1
ZFP28	1	0	0	0	3	0	0	0	0	4	1	1
ZFYVE16	0	0	0	0	4	0	0	0	0	4	1	1
ZFYVE26	0	0	0	0	4	0	0	0	0	4	1	1
ZNF202	0	0	0	0	3	1	0	0	0	4	1	1
ZNF292	1	0	0	0	3	0	0	0	0	4	1	1
ZNF300	0	0	0	0	4	0	0	0	0	4	1	1
ZNF354A	0	0	0	0	4	0	0	0	0	4	1	1
ZNF440	0	0	0	0	4	0	0	0	0	4	1	1
ZNF543	0	0	0	0	4	0	0	0	0	4	1	1
ZNF646	0	0	0	0	4	0	0	0	0	4	1	1
ZNF701	0	0	0	0	4	0	0	0	0	4	1	1
ZNF813	0	0	0	0	4	0	0	0	0	4	1	1
ZNF91	0	0	0	0	4	0	0	0	0	4	1	1
A1BG	0	0	0	0	3	0	0	0	0	3	1	1
A2M	0	0	0	0	3	0	0	0	0	3	1	1
AASDH	1	0	0	0	2	0	0	0	0	3	1	1
ABCA3	0	0	0	0	3	0	0	0	0	3	1	1
ABCA5	0	0	0	0	3	0	0	0	0	3	1	1
ADAM21	0	0	0	0	3	0	0	0	0	3	1	1
ADAMTS9	1	0	0	0	2	0	0	0	0	3	1	1
ADCK2	0	0	0	0	3	0	0	0	0	3	1	1
ADCY6	0	0	0	0	3	0	0	0	0	3	1	1
ADGRE2	0	0	0	0	2	1	0	0	0	3	1	1
ADGRG6	0	0	0	0	3	0	0	0	0	3	1	1
AEBP1	0	0	0	0	2	0	0	1	0	3	1	1
AFF3	2	0	0	0	1	0	0	0	0	3	1	1
AGAP4	0	0	0	0	1	2	0	0	0	3	1	1
AGMAT	0	0	0	0	3	0	0	0	0	3	1	1
AHNAK	0	0	0	0	3	0	0	0	0	3	1	1
AK9	0	0	0	0	3	0	0	0	0	3	1	1
ALDH3B2	0	0	0	0	3	0	0	0	0	3	1	1
ALDH7A1	0	0	0	0	3	0	0	0	0	3	1	1
ALOXE3	0	0	0	0	3	0	0	0	0	3	1	1
AMACR	0	0	0	0	3	0	0	0	0	3	1	1
AMH	0	0	0	0	3	0	0	0	0	3	1	1
ANK3	0	0	0	0	3	0	0	0	0	3	1	1
ANKLE1	0	0	0	0	3	0	0	0	0	3	1	1
ANKMY1	1	0	0	0	1	0	0	1	0	3	1	1
ANKRD12	0	0	0	0	2	1	0	0	0	3	1	1
ANKRD26	0	0	0	0	3	0	0	0	0	3	1	1
ANKRD36B	0	0	0	0	3	0	0	0	0	3	1	1
ANXA2R	0	0	0	0	2	1	0	0	0	3	1	1
APIP	0	0	0	0	3	0	0	0	0	3	1	1
ARG1	0	0	0	0	2	0	0	1	0	3	1	1
ARHGAP45	0	0	0	0	3	0	0	0	0	3	1	1
ARHGEF11	0	0	0	0	3	0	0	0	0	3	1	1
ARHGEF40	0	0	0	0	3	0	0	0	0	3	1	1
ARMCX4	0	0	0	0	3	0	0	0	0	3	1	1
ATP5MGL	0	0	0	0	3	0	0	0	0	3	1	1
ATP8B3	0	0	0	0	2	0	0	1	0	3	1	1
BCAN	0	0	0	0	3	0	0	0	0	3	1	1
BCL2A1	0	0	0	0	3	0	0	0	0	3	1	1
BCORL1	0	0	0	0	3	0	0	0	0	3	1	1
BRICD5	0	0	1	0	2	0	0	0	0	3	1	1
BRME1	0	0	0	0	3	0	0	0	0	3	1	1
BRWD1	0	0	0	0	3	0	0	0	0	3	1	1
BSN	1	0	0	0	2	0	0	0	0	3	1	1
C15orf39	0	0	0	0	3	0	0	0	0	3	1	1
C5	0	0	0	0	3	0	0	0	0	3	1	1
C7orf57	0	0	0	0	3	0	0	0	0	3	1	1
C9orf131	0	0	0	0	3	0	0	0	0	3	1	1
CA14	0	0	0	0	2	0	0	1	0	3	1	1
CACHD1	0	0	0	0	2	0	0	1	0	3	1	1
CACNA2D2	1	1	0	0	1	0	0	0	0	3	1	1
CADPS2	0	0	0	0	3	0	0	0	0	3	1	1
CAPRIN2	0	0	0	0	3	0	0	0	0	3	1	1
CARD14	0	0	0	0	3	0	0	0	0	3	1	1
